,type,name,length_km,toll,lat,lon,arg_min,volume
51517,Secondary Highway,130,7,0,[39.784540622579925 39.80248124912865 None],[-75.40626760849788 -75.34796057221455 None],373.0,10909.833333333334
51518,Secondary Highway,206,3,0,[40.18521461550135 40.19867008541289 None],[-74.70508812088538 -74.73050400849607 None],1458.0,1304.548387096774
51519,Secondary Highway,322,4,0,[39.688857280986745 39.66194634116366 None],[-74.99213814566491 -74.96522720584183 None],1613.0,2057.483870967742
51520,Secondary Highway,322,8,0,[39.47655986682688 39.4511439792162 None],[-74.71106832973496 -74.64080087575246 None],1613.0,2057.483870967742
51521,Secondary Highway,46,18,0,"[40.86994852877753 40.88489905090147 40.89386936417583 40.89386936417583
 40.87443368541471 40.863968319927956 40.854998006653595 None]","[-74.18630500318487 -74.1324831235387 -74.1324831235387 -74.10706723592801
 -74.06969093061818 -74.06072061734382 -74.0427799907951 None]",148.0,6139.548387096775
51522,Secondary Highway,23,37,0,"[41.08374099514979 41.09420636063654 41.110651934972864 41.1016816216985
 41.124107404884406 41.13756287479595 41.16148371019424 41.17643423231818
 41.1928798066545 41.207830328778435 41.2616522084246 41.26613736506178
 41.2840779916105 41.29753346152204 41.309493879221186 41.33640481904427
 41.34238502789384 41.3528503933806 None]","[-74.51073133327424 -74.52867195982296 -74.53764227309732
 -74.57950373504433 -74.57950373504433 -74.57202847398237
 -74.57950373504433 -74.58996910053109 -74.5869789961063
 -74.60641467486741 -74.63033551026571 -74.64379098017724
 -74.6557513978764 -74.6557513978764 -74.6766821288499 -74.67967223327469
 -74.67369202442512 -74.68565244212427 None]",5163.0,626.4444444444445
51523,Secondary Highway,31,22,0,"[40.657651114617664 40.677086793378784 40.690542263290325
 40.70997794205144 40.71147299426383 40.745859195148874 40.759314665060415
 40.769780030547174 40.78921570930829 40.79519591815786 40.80416623143222
 40.81612664913137 40.83257222346769 None]","[-74.91140532619566 -74.91589048283285 -74.93831626601875
 -74.9517717359303 -74.96821731026661 -74.97868267575338
 -74.97419751911619 -74.98017772796577 -74.9712074146914
 -74.97419751911619 -74.99512825008969 -74.9936331978773
 -75.00110845893927 None]",1518.0,1608.0967741935483
51524,Secondary Highway,31,23,0,"[40.225581025235975 40.239036495147516 40.26744248718299
 40.304818792492824 40.32425447125394 40.34369015001506 40.37359119426292
 40.38106645532489 40.38555161196207 40.403492238510786 40.422927917271906
 None]","[-74.76489020938111 -74.77386052265547 -74.78283083592983
 -74.78432588814223 -74.79927641026616 -74.79628630584138
 -74.79927641026616 -74.80525661911574 -74.82469229787685
 -74.85758344654951 -74.86505870761147 None]",1458.0,1304.548387096774
51525,Secondary Highway,49,68,0,"[39.679886967712385 39.65447108010169 39.63802550576537 39.591678887181175
 39.5632728951457 39.54981742523416 39.54383721638459 39.53038174647305
 39.4720747101897 39.45861924027816 39.43021324824269 39.4272231438179
 39.39582704735764 39.39283694293285 None]","[-75.4929806368167 -75.52138662885217 -75.5154064200026 -75.4914855846043
 -75.46008948814405 -75.41523792177225 -75.41075276513506
 -75.37636656425002 -75.30011890141795 -75.30011890141795
 -75.24779207398419 -75.21938608194871 -75.04745507752347
 -75.01007877221363 None]",373.0,10909.833333333334
51526,Secondary Highway,70,8,0,[40.01328361107611 40.01328361107611 40.041689603111585 None],[-74.30740423238873 -74.28946360584001 -74.23564172619385 None],1458.0,1304.548387096774
51527,Secondary Highway,70,71,0,"[39.89367943408464 39.89367943408464 39.90563985178379 39.89218438187225
 39.886204173022676 39.886204173022676 39.89218438187225 39.91162006063336
 39.93703594824405 39.948996365943195 39.956471627005165
 39.960956783642345 39.97740235797867 40.00431329780175 40.0147786632885
 40.0147786632885 None]","[-74.927850900532 -74.88299933416019 -74.8142269323901 -74.76638526159351
 -74.73349411292085 -74.68565244212427 -74.61837509256657
 -74.55408784743365 -74.52119669876099 -74.48681049787594
 -74.4494341925661 -74.39112715628276 -74.36571126867207
 -74.34478053769857 -74.32235475451267 -74.31188938902592 None]",1458.0,1304.548387096774
51528,Secondary Highway,72,39,0,"[39.89965964293422 39.85480807656241 39.77856041373035 39.775570309305564
 39.71277811638504 None]","[-74.59744436159305 -74.50923628106185 -74.33282011999943
 -74.32833496336224 -74.27899824035326 None]",1458.0,1304.548387096774
51529,Secondary Highway,94,31,0,"[41.08972120399936 41.09719646506132 41.128592561521586 41.136067822583556
 41.15101834470749 41.15251339691988 41.17792928453057 41.18839465001732
 41.19138475444211 41.212315485415616 41.219790746477585
 41.231751164176735 None]","[-74.6781771810623 -74.65126624123921 -74.62136519699135
 -74.60491962265502 -74.59295920495587 -74.57950373504433
 -74.5406323775221 -74.51521648991141 -74.4987709155751 -74.46139461026526
 -74.45391934920329 -74.42551335716782 None]",5163.0,626.4444444444445
51530,Secondary Highway,206,45,0,"[39.64699581903973 39.66194634116366 39.73520389957094 39.75463957833205
 39.7665999960312 39.82939218895172 39.83985755443848 39.868263546473955
 39.886204173022676 39.951986470367984 39.969927096916706
 40.01926381992568 40.06860054293467 40.11345210930647 40.11943231815604
 None]","[-74.78881104477941 -74.77984073150505 -74.72751390407127
 -74.72751390407127 -74.73797926955804 -74.73498916513324
 -74.73797926955804 -74.73199906070846 -74.74096937398282
 -74.7439594784076 -74.73498916513324 -74.73199906070846
 -74.72153369522171 -74.70658317309777 -74.70658317309777 None]",1458.0,1304.548387096774
51531,Secondary Highway,206,23,0,"[40.674096688953995 40.690542263290325 40.70848288983904 40.72791856860016
 40.753334456210844 40.77277013497196 40.79519591815786 40.80566128364461
 40.83705738010487 40.849017797804024 40.8774237898395 40.89685946860061
 None]","[-74.64528603238965 -74.65874150230118 -74.66472171115076
 -74.69013759876144 -74.69611780761102 -74.69163265097384
 -74.70508812088538 -74.71555348637213 -74.70957327752257
 -74.7006029642482 -74.69163265097384 -74.7006029642482 None]",1518.0,1608.0967741935483
51532,Secondary Highway,206,29,0,"[40.28538311373171 40.304818792492824 40.34817530665224 40.35714561992659
 40.3780763509001 40.39153182081164 40.413957603997545 40.44236359603302
 40.46628443143131 40.506650841165936 40.50964094559072 40.52907662435184
 40.53954198983859 None]","[-74.73199906070846 -74.72452379964649 -74.66472171115076
 -74.66920686778793 -74.66322665893836 -74.65425634566401
 -74.64977118902682 -74.66322665893836 -74.66023655451357
 -74.64229592796485 -74.63332561469049 -74.62585035362852
 -74.61388993592938 None]",1518.0,1608.0967741935483
51533,Secondary Highway,206,46,0,"[40.91480009514933 40.93274072169805 40.95815660930874 40.99553291461857
 41.01945375001687 41.035899324353196 41.0583251075391 41.08673109957457
 41.09869151727372 41.119622248247225 41.13756287479595 41.15550350134467
 41.16746391904382 41.17493918010578 41.18689959780493 41.216800642052796
 41.228761059751946 41.27361262612375 41.29155325267247 41.306503774796404
 None]","[-74.71555348637213 -74.71854359079691 -74.73797926955804
 -74.74246442619521 -74.7693753660183 -74.76638526159351
 -74.75292979168196 -74.73050400849607 -74.73050400849607
 -74.71256338194735 -74.73947432177043 -74.77984073150505
 -74.79180114920419 -74.78881104477941 -74.80226651469096
 -74.80525661911574 -74.80226651469096 -74.80077146247855
 -74.7903060969918 -74.80077146247855 None]",1518.0,1608.0967741935483
51534,Secondary Highway,40,90,0,"[39.681382019924776 39.658956236738874 39.64550076682734 39.65148097567691
 39.63653045355298 39.61858982700426 39.594668991605964 39.599154148243144
 39.593173939393566 39.584203626119205 39.57224320842006 39.53935205974741
 39.512441119924326 39.44815387479141 39.44815387479141 39.45263903142859
 39.44516377036662 39.4496489270038 39.4511439792162 None]","[-75.41374286955985 -75.37038635540044 -75.33749520672778
 -75.31805952796667 -75.27021785717008 -75.23433660407264
 -75.17004935893972 -75.1536037846034 -75.11323737486877
 -75.07885117398372 -75.05493033858544 -74.95625689256747
 -74.92486079610721 -74.76040505274393 -74.73050400849607
 -74.72751390407127 -74.6991079120358 -74.66322665893836
 -74.64080087575246 None]",1613.0,2057.483870967742
51535,Secondary Highway,40,1,0,[39.3599457942602 39.35097548098584 None],[-74.46139461026526 -74.45391934920329 None],1458.0,1304.548387096774
51536,Secondary Highway,46,16,0,"[40.929750617273264 40.91480009514933 40.898354520813 40.871443580989926
 40.850512850016415 40.84453264116684 40.83257222346769 None]","[-75.09529674832005 -75.07735612177133 -75.07287096513416
 -75.04745507752347 -75.05792044301022 -75.05343528637304
 -75.00110845893927 None]",1518.0,1608.0967741935483
51537,Secondary Highway,9,13,0,"[39.98936277567782 40.02972918541244 40.08654116948339 40.11494716151886
 40.138867996917156 None]","[-74.21022583858317 -74.2236813084947 -74.21471099522034
 -74.21770109964513 -74.2251763607071 None]",1458.0,1304.548387096774
51538,Secondary Highway,15,7,0,"[40.90881988629976 40.92526546063608 40.944701139397196 40.96563187037071
 40.97161207922028 None]","[-74.57053342176997 -74.58996910053109 -74.59594930938066
 -74.59594930938066 -74.60043446601784 None]",5163.0,626.4444444444445
51539,Secondary Highway,17,24,0,"[40.875928737627106 40.89685946860061 40.946196191609594 40.98058239249464
 41.01048343674251 41.037394376565594 41.0583251075391 41.07776078630021
 41.09420636063654 41.10467172612329 None]","[-74.06221566955622 -74.07268103504298 -74.07118598283057
 -74.08464145274212 -74.10557218371562 -74.1115523925652
 -74.12201775805195 -74.14743364566264 -74.15490890672461
 -74.16686932442376 None]",4864.0,2181.2580645161293
51540,Secondary Highway,18,16,0,"[40.37060108983813 40.38256150753728 40.422927917271906 40.43787843939584
 40.481234953555244 40.48273000576764 None]","[-74.30590918017634 -74.32833496336224 -74.37916673858362
 -74.39262220849515 -74.41205788725627 -74.41803809610585 None]",1518.0,1608.0967741935483
51541,Secondary Highway,23,17,0,"[41.0119784889549 41.01347354116729 41.029919115503624 41.052344898689526
 41.05982015975149 41.07626573408782 41.08374099514979 None]","[-74.37019642530926 -74.38963210407037 -74.41803809610585
 -74.44644408814132 -74.47634513238918 -74.48830555008834
 -74.51073133327424 None]",5163.0,626.4444444444445
51542,Secondary Highway,23,13,0,"[40.946196191609594 40.97460218364507 40.99254281019379 40.98805765355661
 40.99254281019379 41.00749333231772 41.0119784889549 None]","[-74.27301803150368 -74.28796855362762 -74.3163745456631
 -74.32384980672506 -74.34926569433576 -74.35973105982251
 -74.37019642530926 None]",4864.0,2181.2580645161293
51543,Secondary Highway,31,17,0,"[40.50067063231636 40.50964094559072 40.53356178098902 40.55299745975013
 40.582898503997995 40.61130449603347 40.63074017479459 40.64270059249373
 40.657651114617664 None]","[-74.85459334212472 -74.85010818548754 -74.85758344654951
 -74.85160323769993 -74.86206860318669 -74.87851417752302
 -74.8815042819478 -74.90841522177088 -74.91140532619566 None]",1518.0,1608.0967741935483
51544,Secondary Highway,37,26,0,"[40.01328361107611 40.00132319337697 39.99085782789021 39.96693699249192
 39.962451835854736 39.953481522580375 39.948996365943195
 39.94152110488123 None]","[-74.30740423238873 -74.2909586580524 -74.26703782265412
 -74.22816646513188 -74.18331489876009 -74.16088911557418
 -74.11603754920237 -74.08015629610493 None]",1458.0,1304.548387096774
51545,Secondary Highway,70,8,0,[40.041689603111585 40.046174759748766 40.05514507302313 None],[-74.23564172619385 -74.22667141291949 -74.16836437663615 None],1458.0,1304.548387096774
51546,Secondary Highway,70,16,0,"[39.93404584381926 39.91760026948293 39.91012500842097 39.89517448629704
 39.89367943408464 None]","[-75.07137591292177 -75.02951445097474 -74.98466288460294
 -74.94579152708071 -74.927850900532 None]",4105.0,268.7307692307692
51547,Secondary Highway,130,10,0,"[39.860788285411985 39.877233859748316 39.88919427744746 39.92657058275729
 39.93404584381926 None]","[-75.15061368017861 -75.11622747929356 -75.10426706159441
 -75.08333633062091 -75.08184127840852 None]",4105.0,268.7307692307692
51548,Secondary Highway,1,69,0,"[40.26744248718299 40.33920499337788 40.45282896151977 40.4677794836437
 40.481234953555244 40.497680527891575 40.51711620665269 40.53954198983859
 40.56196777302449 40.6501758535557 40.653165957980484 40.681571950015964
 None]","[-74.71405843415974 -74.62884045805332 -74.48980060230073
 -74.43597872265457 -74.41953314831824 -74.41056283504388
 -74.37019642530926 -74.3402953810614 -74.30142402353916
 -74.22218625628231 -74.21172089079556 -74.19228521203445 None]",148.0,6139.548387096775
51549,Secondary Highway,1,4,0,[40.7398789862993 40.775760239396746 None],[-74.065205773981 -74.03978988637031 None],148.0,6139.548387096775
51550,Secondary Highway,1,4,0,[40.84303758895445 40.841542536742054 40.857988111078384 None],[-74.00540368548526 -73.99493831999851 -73.9755026412374 None],148.0,6139.548387096775
51551,Secondary Highway,130,89,0,"[39.93404584381926 39.9714221491291 40.0147786632885 40.07009559514706
 40.07159064735946 40.0835510650586 40.141858101341946 40.16876904116503
 40.19567998098811 40.221095868598795 40.25697712169624 40.26295733054581
 40.29883858364325 40.35714561992659 40.399007081873606 40.410967499572756
 40.43339328275866 40.45282896151977 40.46179927479413 None]","[-75.08184127840852 -75.04296992088629 -74.95625689256747
 -74.86804881203626 -74.85459334212472 -74.836652715576 -74.7020980164606
 -74.68565244212427 -74.64229592796485 -74.61388993592938
 -74.54810763858407 -74.54661258637168 -74.51372143769902
 -74.4957808111503 -74.50923628106185 -74.50624617663706
 -74.48830555008834 -74.45840450584046 -74.45541440141568 None]",4105.0,268.7307692307692
51552,Secondary Highway,130,4,0,[39.80248124912865 39.79949114470386 39.80397630134104 None],[-75.34796057221455 -75.3330100500906 -75.3105842669047 None],373.0,10909.833333333334
51553,Secondary Highway,202,1,0,[40.657651114617664 40.674096688953995 None],[-74.64379098017724 -74.64528603238965 None],1518.0,1608.0967741935483
51554,Secondary Highway,202,35,0,"[40.422927917271906 40.44385864824541 40.476749796918064 40.491700319042
 40.50515578895354 40.54402714647577 40.572433138511244 40.573928190723635
 40.582898503997995 40.59635397390954 None]","[-74.86505870761147 -74.85758344654951 -74.86356365539908
 -74.8605735509743 -74.84861313327515 -74.74993968725718
 -74.66771181557554 -74.6318305624781 -74.62136519699135
 -74.62286024920374 None]",1518.0,1608.0967741935483
51555,Secondary Highway,202,3,0,[40.91330504293694 40.946196191609594 None],[-74.26404771822932 -74.27301803150368 None],4864.0,2181.2580645161293
51556,Secondary Highway,206,4,0,[40.53954198983859 40.5589776685997 40.57542324293603 None],[-74.61388993592938 -74.61688004035416 -74.62884045805332 None],1518.0,1608.0967741935483
51557,Secondary Highway,206,3,0,[40.149333362403915 40.17175914558981 40.18521461550135 None],[-74.7006029642482 -74.6991079120358 -74.70508812088538 None],1458.0,1304.548387096774
